# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# Number of images: 240, mean observations per image: TBD
1 0.6673221555214474 0.2257291741829923 -0.2274183242195204 0.6723156895998031 0 0 0 1 image_1.png

2 0.1446977301456536 0.048945630021041305 -0.3166655609797272 0.9361569391303649 0 0 0 2 image_2.png

3 0.11770773384496158 0.09735499893469529 -0.6298617133742072 0.7615386501030774 0 0 0 3 image_3.png

4 -0.2872280636618898 -0.34727509091661757 0.687892625677141 -0.568949722043086 0 0 0 4 image_4.png

5 0.542848726731451 0.4489852940924665 -0.4523449894449457 0.546910848401086 0 0 0 5 image_5.png

6 -0.433196304197412 -0.14653350587287672 -0.28495735594023147 0.842418066628357 0 0 0 6 image_6.png

7 0.9350522146401852 0.3162918695335474 -0.05130498879031961 0.15167269790138097 0 0 0 7 image_7.png

8 0.5667926550386346 0.6852846035664406 -0.35239360822844645 0.2914615638275105 0 0 0 8 image_8.png

9 -0.14440511143439477 -0.42690412501460817 0.8456240959815156 -0.2860418153567348 0 0 0 9 image_9.png

10 0.10204784012482428 0.12338167161323123 0.7606400084375466 -0.6291184141319597 0 0 0 10 image_10.png

11 0.6878926171184062 0.5689497284015947 0.2872280668719136 -0.3472750947977192 0 0 0 11 image_11.png

12 0.6298617133742072 0.7615386501030774 0.11770773384496158 -0.09735499893469529 0 0 0 12 image_12.png

13 0.316665561103082 0.9361569394950382 0.14469773020201956 -0.04894562208142017 0 0 0 13 image_13.png

14 0.2274183109192972 0.6723156917442762 0.6673221576499926 -0.22572917490299652 0 0 0 14 image_14.png

15 0.4523450124328312 0.5469108581625443 0.5428487228985647 -0.44898526367626895 0 0 0 15 image_15.png

16 0.8456240970780435 0.2860418245383956 0.144405085189402 -0.42690412556817836 0 0 0 16 image_16.png

17 0.7606400084375466 0.6291184141319597 -0.10204784012482428 0.12338167161323123 0 0 0 17 image_17.png

18 0.28495734781411375 0.8424180687514549 -0.4331963052891718 0.1465335062421767 0 0 0 18 image_18.png

19 0.05130499597293244 0.15167269557927746 0.9350522162607504 -0.3162918646911303 0 0 0 19 image_19.png

20 -0.35239360388533103 -0.291461560235359 -0.5667926697976189 0.6852845951205718 0 0 0 20 image_20.png

